rating,numVotes,title,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genre,S.no.,startYear_y,No of seasons available,Language,genre_y,rating_y,age
8.0,15872.0,Shameless,Shameless,0,2004,2013,90,"Comedy,Crime,Drama",48,2011.0,10.0,English,"Comedy, Drama",8.6,18+
8.5,216188.0,Shameless,Shameless,0,2011,2021,46,"Comedy,Drama",48,2011.0,10.0,English,"Comedy, Drama",8.6,18+
8.2,4528.0,Shaktimaan,Shaktimaan,0,1997,2005,60,"Action,Adventure,Family",130,1998.0,5.0,Hindi,Drama,,16+
7.5,272205.0,Grey's Anatomy,Grey's Anatomy,0,2005,\N,41,"Drama,Romance",31,2005.0,15.0,English,Drama,7.6,16+
6.7,56.0,Scooter: Secret Agent,Scooter: Secret Agent,0,2005,2005,30,"Comedy,Sci-Fi",380,2003.0,1.0,English,Comedy,6.8,All
6.7,7.0,Heroes,Heroes,0,1984,\N,\N,Drama,93,2007.0,4.0,English,"Drama, Sci-fi",,16+
7.5,8377.0,Heroes,Heroes,0,2006,\N,\N,Drama,93,2007.0,4.0,English,"Drama, Sci-fi",,16+
7.5,233894.0,Heroes,Heroes,0,2006,2010,45,"Drama,Fantasy,Sci-Fi",93,2007.0,4.0,English,"Drama, Sci-fi",,16+
8.9,175.0,Heroes,Heroes,0,2020,\N,45,"Action,History",93,2007.0,4.0,English,"Drama, Sci-fi",,16+
5.8,12.0,Lorena,Lorena,0,2005,\N,\N,Romance,205,2019.0,1.0,English,Documentary,7.2,16+
8.4,409606.0,Supernatural,Supernatural,0,2005,2020,44,"Drama,Fantasy,Horror",40,2006.0,15.0,English,"Drama, Suspense, Horror",8.4,16+
7.8,52169.0,Carnival Row,Carnival Row,0,2019,\N,56,"Crime,Drama,Fantasy",55,2019.0,1.0,English,"Drama, Fantasy",7.9,16+
8.3,89532.0,Psych,Psych,0,2006,2014,44,"Comedy,Crime,Mystery",274,2007.0,8.0,English,Comedy,,13+
7.1,956.0,Conviction,Conviction,0,2006,2009,60,"Crime,Drama,Mystery",239,2009.0,1.0,French,Action,,13+
8.0,15.0,Conviction,Conviction,0,2008,\N,\N,"Crime,Documentary",239,2009.0,1.0,French,Action,,13+
7.2,7257.0,Conviction,Conviction,0,2016,2017,42,Drama,239,2009.0,1.0,French,Action,,13+
8.6,675641.0,Dexter,Dexter,0,2006,2013,53,"Crime,Drama,Mystery",41,2006.0,8.0,English,Drama,8.6,18+
8.6,219419.0,Mad Men,Mad Men,0,2007,2015,47,Drama,106,2007.0,7.0,English,Drama,8.6,16+
8.3,33337.0,Life,Life,0,2007,2009,45,"Crime,Drama,Mystery",155,2007.0,2.0,English,Drama,8.3,All
8.1,751246.0,The Big Bang Theory,The Big Bang Theory,0,2007,2019,22,"Comedy,Romance",260,2008.0,12.0,English,Comedy,,13+
8.3,175149.0,Californication,Californication,0,2007,2014,28,"Comedy,Drama",294,2007.0,7.0,English,Comedy,8.3,18+
8.2,131410.0,Chuck,Chuck,0,2007,2012,43,"Action,Comedy,Drama",290,2008.0,5.0,English,Comedy,,16+
4.8,6.0,Faireez,Faireez,0,2005,\N,12,"Animation,Family,Fantasy",382,2006.0,1.0,English,Comedy,,All
7.2,1184.0,El Presidente,El Presidente,0,2020,\N,\N,"Comedy,Drama,Sport",142,2020.0,1.0,Spanish,Drama,,All
9.6,13.0,El Presidente,El Presidente,0,2021,\N,\N,"Documentary,Sport",142,2020.0,1.0,Spanish,Drama,,All
6.6,776.0,One Mic Stand,One Mic Stand,0,2019,\N,30,Comedy,23,2019.0,1.0,Hindi,Comedy,6.5,16+
6.1,237.0,Jestination Unknown,Jestination Unknown,0,2019,\N,37,Comedy,27,2019.0,1.0,Hindi,"Comedy, Arts, Entertainment, Culture",6.2,16+
5.0,1066.0,Living Biblically,Living Biblically,0,2018,2018,30,Comedy,333,2018.0,1.0,English,Comedy,,All
7.2,583.0,Inside Borussia Dortmund,Inside Borussia Dortmund,0,2019,\N,\N,"Documentary,Sport",180,2019.0,1.0,English,"Drama, Documentary",,All
4.2,5.0,"Me, Myself and I","Me, Myself and I",0,2007,2007,\N,Talk-Show,370,2017.0,1.0,English,Comedy,7.2,All
7.3,2424.0,"Me, Myself and I","Me, Myself and I",0,2017,2018,30,Comedy,370,2017.0,1.0,English,Comedy,7.2,All
