rating,numVotes_x,title,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genre,age,startYear_y,rating_y,numVotes_y
6.9,2621.0,Sofia the First,Sofia the First,0,2012,2018,22,"Adventure,Animation,Family",TV-Y,2015,8.2,80
6.9,2621.0,Sofia the First,Sofia the First,0,2012,2018,22,"Adventure,Animation,Family",TV-Y,2015,8.2,80
7.4,19617.0,Baby Daddy,Baby Daddy,0,2012,2017,22,"Comedy,Drama,Family",TV-14,2016,8.0,80
7.4,19617.0,Baby Daddy,Baby Daddy,0,2012,2017,22,"Comedy,Drama,Family",TV-14,2016,8.0,80
7.4,19617.0,Baby Daddy,Baby Daddy,0,2012,2017,22,"Comedy,Drama,Family",TV-14,2016,8.0,80
8.1,101701.0,Bates Motel,Bates Motel,0,2013,2017,45,"Drama,Horror,Mystery",TV-14,2016,8.3,80
8.1,101701.0,Bates Motel,Bates Motel,0,2013,2017,45,"Drama,Horror,Mystery",TV-14,2016,8.3,80
8.1,101701.0,Bates Motel,Bates Motel,0,2013,2017,45,"Drama,Horror,Mystery",TV-14,2016,8.3,80
8.1,101701.0,Bates Motel,Bates Motel,0,2013,2017,45,"Drama,Horror,Mystery",TV-14,2016,8.3,80
7.5,417487.0,Arrow,Arrow,0,2012,2020,42,"Action,Adventure,Crime",TV-14,2015,9.6,80
7.5,417487.0,Arrow,Arrow,0,2012,2020,42,"Action,Adventure,Crime",TV-14,2015,9.6,80
7.8,88.0,Arrow,Arrow,0,2009,\N,5,"Comedy,Short",TV-14,2015,9.6,80
7.8,88.0,Arrow,Arrow,0,2009,\N,5,"Comedy,Short",TV-14,2015,9.6,80
8.1,91951.0,The Fall,The Fall,0,2013,2016,60,"Crime,Drama,Thriller",TV-MA,2016,6.1,80
8.1,91951.0,The Fall,The Fall,0,2013,2016,60,"Crime,Drama,Thriller",TV-MA,2016,6.1,80
